Id,OwnerUserId,CreationDate,Score,Title
1,8,2010-07-19T19:12:12Z,35,Eliciting priors from experts
2,24,2010-07-19T19:12:57Z,28,What is normality?
3,18,2010-07-19T19:13:28Z,65,What are some valuable Statistical Analysis open source projects?
4,23,2010-07-19T19:13:31Z,17,Assessing the significance of differences in distributions
6,5,2010-07-19T19:14:44Z,272,The Two Cultures: statistics vs. machine learning?
7,38,2010-07-19T19:15:59Z,94,Locating freely available data samples
10,24,2010-07-19T19:17:47Z,35,Under what conditions should Likert scales be used as ordinal or interval data?
11,34,2010-07-19T19:18:30Z,3,Multivariate Interpolation Approaches
17,NA,2010-07-19T19:24:12Z,10,How can I adapt ANOVA for binary data?
21,59,2010-07-19T19:24:36Z,4,Forecasting demographic census
22,66,2010-07-19T19:25:39Z,208,Bayesian and frequentist reasoning in plain English
23,69,2010-07-19T19:26:04Z,15,Finding the PDF given the CDF
25,69,2010-07-19T19:27:13Z,9,Tools for modeling financial time series
26,75,2010-07-19T19:27:43Z,26,What is a standard deviation?
30,69,2010-07-19T19:28:34Z,11,Testing random variate generation algorithms
31,13,2010-07-19T19:28:44Z,138,What is the meaning of p values and t values in statistical tests?
33,69,2010-07-19T19:30:03Z,5,R packages for seasonality analysis
35,54,2010-07-19T19:30:30Z,11,Modelling a Poisson distribution with overdispersion
36,8,2010-07-19T19:31:47Z,58,Examples for teaching: Correlation does not mean causation
39,59,2010-07-19T19:32:29Z,5,Sample problems on logit modeling and Bayesian methods
40,69,2010-07-19T19:32:47Z,9,Pseudo-random number generation algorithms
44,68,2010-07-19T19:34:42Z,8,Explain data visualization
47,22,2010-07-19T19:36:12Z,7,Clustering of large
50,62,2010-07-19T19:37:31Z,43,What is meant by a random variable?
51,68,2010-07-19T19:37:55Z,2,Measuring the effectiveness of a pattern recognition software
53,17,2010-07-19T19:39:08Z,86,PCA on correlation or covariance?
54,55,2010-07-19T19:41:19Z,14,Why do US and UK Schools Teach Different methods of Calculating the Standard Deviation?
58,68,2010-07-19T19:42:57Z,11,Can someone please explain the back-propagation algorithm?
62,58,2010-07-19T19:44:58Z,5,A case of survivorship bias?
73,22,2010-07-19T19:51:32Z,28,What R packages do you find most useful in your daily work?
93,61,2010-07-19T20:17:07Z,6,Robust nonparametric estimation of hazard/survival functions based on low count data
95,57,2010-07-19T20:21:35Z,7,How Large a Difference Can Be Expected Between Standard GARCH and Asymmetric GARCH Volatility Forecasts?
97,114,2010-07-19T20:23:22Z,50,What are good basic statistics to use for ordinal data?
100,117,2010-07-19T20:30:23Z,5,Whats the purpose of window function in spectral analysis?
103,5,2010-07-19T20:33:26Z,42,What is your favorite data visualization blog?
113,39,2010-07-19T20:54:23Z,10,What are some good frameworks for method selection?
114,8,2010-07-19T21:00:53Z,35,What statistical blogs would you recommend?
118,83,2010-07-19T21:04:39Z,247,Why square the difference instead of taking the absolute value in standard deviation?
124,131,2010-07-19T21:17:30Z,29,Statistical classification of text
125,5,2010-07-19T21:18:12Z,142,What is the best introductory Bayesian statistics textbook?
128,132,2010-07-19T21:23:57Z,7,How does one interpret a Bland-Altman plot?
130,90,2010-07-19T21:26:27Z,35,Clojure versus R: advantages and disadvantages for data analysis
134,138,2010-07-19T21:32:38Z,13,Algorithms to compute the running median?
138,142,2010-07-19T21:38:10Z,78,Free resources for learning R
146,144,2010-07-19T21:52:51Z,14,Can one use multiple regression to predict one principal component (PC) from several other PCs?
