SNo,ObservationDate,State,Country,Last Update
1,1/22/2020,Anhui,Mainland China,1/22/2020 17:00
2,1/22/2020,Beijing,Mainland China,1/22/2020 17:00
3,1/22/2020,Chongqing,Mainland China,1/22/2020 17:00
4,1/22/2020,Fujian,Mainland China,1/22/2020 17:00
5,1/22/2020,Gansu,Mainland China,1/22/2020 17:00
6,1/22/2020,Guangdong,Mainland China,1/22/2020 17:00
7,1/22/2020,Guangxi,Mainland China,1/22/2020 17:00
8,1/22/2020,Guizhou,Mainland China,1/22/2020 17:00
9,1/22/2020,Hainan,Mainland China,1/22/2020 17:00
10,1/22/2020,Hebei,Mainland China,1/22/2020 17:00
11,1/22/2020,Heilongjiang,Mainland China,1/22/2020 17:00
12,1/22/2020,Henan,Mainland China,1/22/2020 17:00
13,1/22/2020,Hong Kong,Hong Kong,1/22/2020 17:00
14,1/22/2020,Hubei,Mainland China,1/22/2020 17:00
15,1/22/2020,Hunan,Mainland China,1/22/2020 17:00
16,1/22/2020,Inner Mongolia,Mainland China,1/22/2020 17:00
17,1/22/2020,Jiangsu,Mainland China,1/22/2020 17:00
18,1/22/2020,Jiangxi,Mainland China,1/22/2020 17:00
19,1/22/2020,Jilin,Mainland China,1/22/2020 17:00
20,1/22/2020,Liaoning,Mainland China,1/22/2020 17:00
21,1/22/2020,Macau,Macau,1/22/2020 17:00
22,1/22/2020,Ningxia,Mainland China,1/22/2020 17:00
23,1/22/2020,Qinghai,Mainland China,1/22/2020 17:00
24,1/22/2020,Shaanxi,Mainland China,1/22/2020 17:00
25,1/22/2020,Shandong,Mainland China,1/22/2020 17:00
26,1/22/2020,Shanghai,Mainland China,1/22/2020 17:00
27,1/22/2020,Shanxi,Mainland China,1/22/2020 17:00
28,1/22/2020,Sichuan,Mainland China,1/22/2020 17:00
29,1/22/2020,Taiwan,Taiwan,1/22/2020 17:00
30,1/22/2020,Tianjin,Mainland China,1/22/2020 17:00
31,1/22/2020,Tibet,Mainland China,1/22/2020 17:00
32,1/22/2020,Washington,US,1/22/2020 17:00
33,1/22/2020,Xinjiang,Mainland China,1/22/2020 17:00
34,1/22/2020,Yunnan,Mainland China,1/22/2020 17:00
35,1/22/2020,Zhejiang,Mainland China,1/22/2020 17:00
36,1/22/2020,,Japan,1/22/2020 17:00
37,1/22/2020,,Thailand,1/22/2020 17:00
38,1/22/2020,,South Korea,1/22/2020 17:00
39,1/23/2020,Anhui,Mainland China,1/23/2020 17:00
40,1/23/2020,Beijing,Mainland China,1/23/2020 17:00
41,1/23/2020,Chongqing,Mainland China,1/23/2020 17:00
42,1/23/2020,Fujian,Mainland China,1/23/2020 17:00
43,1/23/2020,Gansu,Mainland China,1/23/2020 17:00
44,1/23/2020,Guangdong,Mainland China,1/23/2020 17:00
45,1/23/2020,Guangxi,Mainland China,1/23/2020 17:00
46,1/23/2020,Guizhou,Mainland China,1/23/2020 17:00
47,1/23/2020,Hainan,Mainland China,1/23/2020 17:00
48,1/23/2020,Hebei,Mainland China,1/23/2020 17:00
49,1/23/2020,Heilongjiang,Mainland China,1/23/2020 17:00
50,1/23/2020,Henan,Mainland China,1/23/2020 17:00
51,1/23/2020,Hong Kong,Hong Kong,1/23/2020 17:00
52,1/23/2020,Hubei,Mainland China,1/23/2020 17:00
53,1/23/2020,Hunan,Mainland China,1/23/2020 17:00
54,1/23/2020,Inner Mongolia,Mainland China,1/23/2020 17:00
55,1/23/2020,Jiangsu,Mainland China,1/23/2020 17:00
56,1/23/2020,Jiangxi,Mainland China,1/23/2020 17:00
57,1/23/2020,Jilin,Mainland China,1/23/2020 17:00
58,1/23/2020,Liaoning,Mainland China,1/23/2020 17:00
59,1/23/2020,Macau,Macau,1/23/2020 17:00
60,1/23/2020,Ningxia,Mainland China,1/23/2020 17:00
61,1/23/2020,Qinghai,Mainland China,1/23/2020 17:00
62,1/23/2020,Shaanxi,Mainland China,1/23/2020 17:00
63,1/23/2020,Shandong,Mainland China,1/23/2020 17:00
64,1/23/2020,Shanghai,Mainland China,1/23/2020 17:00
